Date,ticker,side,quantity,price,fees,fx_rate,total_gbp,notes
25/10/2024,NUKL.DE,BUY,1.00,32.27,0.04,1.20,26.97,
27/12/2024,ONON,BUY,0.113179,55.45,0.01,1.25767045,5,
07/02/2025,PLTR,BUY,0.11,114.95,0.02,1.24,10.09,
07/02/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,10.00,
13/02/2025,BA,BUY,2.68,186.35,0.60,1.25,400.00,
13/02/2025,BABA,BUY,4.25,117.78,0.60,1.25,400.00,
13/02/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,10000.00,
14/02/2025,CSPX.L,BUY,6.76,650.20,5.24,1.26,3500.00,
14/02/2025,NASD.L,BUY,2.08,89.28,0.22,1.26,148.00,
14/02/2025,NASD.L,BUY,19.00,89.29,2.02,1.26,1352.00,
14/02/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,1.20,
15/02/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.55,
16/02/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.55,
17/02/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.55,
17/02/2025,CASH,WITHDRAW,0.00,0.00,0.00,0.00,-4202.85,
04/03/2025,PLTR,SELL,0.11,80.14,0.01,1.27,6.84,
04/03/2025,QUBT,SELL,1.00,5.01,0.01,1.27,3.93,
04/03/2025,SMR,SELL,0.17,14.50,0.00,1.27,1.94,
05/03/2025,BRK-B,SELL,0.03,492.80,0.02,1.29,12.10,
05/03/2025,CNDX.L,SELL,0.31,1157.51,0.41,1.29,273.96,
06/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
07/03/2025,CSPX.L,BUY,0.63,611.54,0.45,1.29,300.00,
07/03/2025,NASD.L,BUY,1.25,81.53,0.12,1.29,79.23,
07/03/2025,NASD.L,BUY,1.91,81.53,0.18,1.29,120.77,
07/03/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,201.15,
07/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
11/03/2025,CSPX.L,BUY,1.53,589.95,1.05,1.29,700.95,
11/03/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,1000.00,
12/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
13/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
14/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
15/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
16/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
17/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
18/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
19/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
20/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
21/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
22/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
23/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
24/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
25/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
26/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
27/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
28/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
29/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
30/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
31/03/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
01/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
02/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
03/04/2025,CSPX.L,BUY,0.45,584.26,0.30,1.31,200.00,
03/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
04/04/2025,CSPX.L,BUY,0.68,571.27,0.45,1.31,300.00,
04/04/2025,CSPX.L,BUY,0.70,556.93,0.45,1.30,300.00,
04/04/2025,NASD.L,BUY,2.67,72.82,0.22,1.30,150.00,
04/04/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,1000.00,
04/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
05/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
06/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
07/04/2025,CSPX.L,BUY,2.00,514.97,1.20,1.29,800.00,
07/04/2025,NASD.L,BUY,5.78,66.93,0.45,1.29,300.00,
07/04/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,1500.00,
07/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
08/04/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,1000.00,
08/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
09/04/2025,BABA,BUY,4.00,100.00,0.47,1.28,313.45,
09/04/2025,CSPX.L,BUY,0.72,531.68,0.45,1.28,300.00,
09/04/2025,CSPX.L,BUY,0.98,521.23,0.60,1.28,400.00,
09/04/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,400.00,
09/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.21,
10/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
11/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
12/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
13/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
14/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
15/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
16/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
17/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
18/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
19/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
20/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.15,
21/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
22/04/2025,CSPX.L,BUY,0.48,554.35,0.30,1.34,200.00,
22/04/2025,NASD.L,BUY,1.84,72.86,0.15,1.34,100.00,
22/04/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,215.00,
22/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.14,
23/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
24/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.12,
25/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
26/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
27/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
28/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
29/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
30/04/2025,CSPX.L,BUY,1.14,582.91,0.75,1.33,500.00,
30/04/2025,NASD.L,BUY,5.17,77.22,0.45,1.33,300.00,
